post_url,post_title
https://m.facebook.com/share/BNk3ozf6QQr4p4qN/?mibextid=Cx5MWH,"Safi Kaskas - Dark Energy, Dark Matter"
https://m.facebook.com/share/p/CtL5vD9ph3w95wkt/?mibextid=UIerB5,Astrophysicist's research could provide a hint in the search for dark matter
https://m.facebook.com/share/4iGhQYkgLyKWRFeZ/?mibextid=Cx5MWH,"Fraternali’s team unveils galaxies defying traditional dark matter models, challenging long-held astronomical beliefs"
https://m.facebook.com/share/p/iRoQ9vEGh9vYEKMj/?mibextid=UIerB5,"Recent research conducted by scientists from the University of Granada can contribute to determine the nature of dark matter, one of the most important mysteries in physics"
https://m.facebook.com/share/hmwoAXeRcMqBVibM/?mibextid=Cx5MWH,An international team of researchers has created the largest and most detailed map of the distribution of so-called dark matter in the Universe
https://m.facebook.com/share/v/NQ6GUWuNpAXWh6mf/?mibextid=Cx5MWH,Hubble Makes Unexpected Dark Matter Discovery
https://m.facebook.com/share/f6tmYxGUVe3GoZL5/?mibextid=Cx5MWH,"Super fun discussion about the science of Dark Matter. Also: some cool, new images from the show..."
https://m.facebook.com/share/v/VFiA2n91KseUrKQs/?mibextid=Cx5MWH,Astronomers discovered a galaxy that has no dark matter
https://m.facebook.com/share/po9qxEvGjjYHXhks/?mibextid=Cx5MWH,"""Dark matter and dark energy are vivid reminders that science is an ongoing flirtation with the unknown."""
https://m.facebook.com/share/v/R2hJ64g7QWbBE53m/?mibextid=Cx5MWH,"The latest dark matter science results report on the warped light of distant galaxies, which ironically leave us more in the dark than ever"
https://m.facebook.com/share/Ujf7zPWXSZTmHgm5/?mibextid=Cx5MWH,Lone black holes are massive but dark — a tempting explanation for dark matter. Here's why astronomers don't believe these objects are the culprit
https://m.facebook.com/share/SpTFFmTThGX9xS3R/?mibextid=Cx5MWH,"While astronomers and physicists widely accept the existence of dark matter today, many recent creationists oppose the existence of dark matter"
https://m.facebook.com/share/qUmZmvy71kf21osf/?mibextid=Cx5MWH,Confused about dark matter and dark energy? This is the key difference between the two
https://m.facebook.com/share/rTJAMZtMWqZkQGQC/?mibextid=Cx5MWH,
https://m.facebook.com/share/v/pZ4ug4wCXryDcSa8/?mibextid=Cx5MWH,Mystery of Galaxy's Missing Dark Matter Deepens
https://m.facebook.com/share/AvT5UTiyzkybFbDL/?mibextid=Cx5MWH,🗞️Controversial new theory of gravity rules out need for dark matter 🗞️
https://m.facebook.com/share/p/QHPdRx7srhfiX3d1/?mibextid=UIerB5,The Mysterious Dark Matter
https://m.facebook.com/share/v/bkw5F1S9qvwR8LEb/?,How dark matter connects galaxies
https://m.facebook.com/share/p/M7jmHX2EsBJvyyAP/?,"Scientists have mapped Sagittarius—a neighboring dwarf galaxy—in exquisite detail, and they’ve used that map to provide a long-sought picture of the mysterious dark matter halo in which our Milky Way resides"
